,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
46,N/A,N/A,cnp,N/A,N/A,N/A,N/A,N/A,194.75,14.59,0.97,1.96,6.62,10.13,2.59,1.5,21.47,8910000000.0,16530000000.000002,17.71,12.08,1.79,8.49,1.79,2340000000.0,1.5,611000000.0,1.42,55.80,8.60,1230000000.0,2.86,8860000000.0,0.94,10.58,20.72,1.5,0.62,79.00,7400000.0,1.60,1.80,6760000.0,N/A
47,N/A,N/A,cnx,N/A,N/A,N/A,N/A,N/A,61.71,41.26,1.83,1.20,4.66,9.77,1.85,1.5,15.21,6700000000.0,9810000000.0,23.27,2.91,2.80,10.75,2.80,1500000000.0,1.5,168780000.0,0.71,90.00,11.30,176990000.0,0.77,3290000000.0,1.02,23.15,29.09,1.5,0.78,99.30,22300000.0,6.30,13.10,20490000.0,N/A
48,N/A,N/A,coh,N/A,N/A,N/A,N/A,N/A,0.79,20.40,2.55,4.56,12.65,21.23,16.66,1.5,16.32,11550000000.0,10500000000.0,20.83,5.59,2.34,9.21,2.34,3300000000.0,1.5,568640000.0,2.05,38.30,14.10,1060000000.0,3.86,20000000.0,2.72,9.13,41.86,1.5,0.91,89.30,21360000.0,4.20,7.80,24520000.0,N/A
49,N/A,N/A,col,N/A,N/A,N/A,N/A,N/A,133.74,20.40,2.47,6.83,12.43,18.83,8.52,1.5,38.28,12700000000.0,14880000000.0,16.90,1.64,2.89,12.84,2.89,1510000000.0,1.5,653000000.0,4.70,27.50,16.30,315000000.0,2.38,2500000000.0,1.39,14.07,95.97,1.5,0.41,0.10,3620000.0,4.40,3.10,3540000.0,N/A
50,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,48.25,29.67,0.57,6.48,1.96,3.01,6.67,1.5,263.39,66709999999.99999,64290000000.00001,26.56,2.79,0.56,14.14,0.56,14180000000.0,1.5,2260000000.0,5.11,29.20,4.40,7450000000.0,16.94,5030000000.0,0.99,23.19,151.63,1.5,0.81,75.70,5110000.0,2.60,1.20,6800000.0,N/A
51,N/A,N/A,cpb,N/A,N/A,N/A,N/A,N/A,259.64,19.36,1.75,9.52,9.17,14.22,9.22,1.5,26.51,14540000000.0,18270000000.0,18.80,7.35,2.20,12.28,2.20,2900000000.0,1.5,762000000.0,2.41,36.30,2.10,201000000.0,0.65,3930000000.0,0.73,4.89,46.63,1.5,43.55,42.60,13180000.0,6.90,7.50,12920000.0,N/A
52,N/A,N/A,csco,N/A,N/A,N/A,N/A,N/A,35.55,16.21,2.89,2.41,18.00,24.09,7.12,1.5,9.39,138490000000.0,105990000000.0,12.00,1.54,2.20,7.58,2.20,27770000000.0,1.5,8650000000.0,1.67,67.70,7.00,53020000000.0,10.39,20520000000.0,3.39,11.30,27.13,1.5,0.07,74.90,39390000.0,1.40,0.80,41210000.0,N/A
53,N/A,N/A,csx,N/A,N/A,N/A,N/A,N/A,87.17,17.35,2.62,2.97,15.21,28.52,6.97,1.5,12.66,33009999999.999996,41790000000.0,13.94,1.58,3.30,8.77,3.30,8570000000.0,1.5,1930000000.0,1.92,15.30,5.30,961000000.0,0.97,9740000000.0,1.22,11.25,33.32,1.5,0.43,67.40,7010000.0,1.00,0.70,6290000.0,N/A
54,N/A,N/A,ctas,N/A,N/A,N/A,N/A,N/A,63.49,21.92,2.05,4.56,9.95,14.82,9.63,1.5,38.77,9460000000.0,10260000000.0,22.11,1.98,2.26,12.28,2.26,1910000000.0,1.5,430460000.0,3.77,12.20,1.90,490190000.0,4.29,1300000000.0,2.70,17.91,82.69,1.5,17.25,77.90,5550000.0,12.30,6.50,5400000.0,N/A
55,N/A,N/A,ctl,N/A,N/A,N/A,N/A,N/A,137.60,26.09,1.12,1.34,4.28,14.37,3.18,1.5,31.72,20070000000.0,40610000000.0,14.29,138.90,2.25,5.88,2.25,10180000000.0,1.5,772000000.0,1.36,21.30,2.30,128000000.0,0.23,20670000000.0,0.91,26.42,35.43,1.5,0.51,75.90,37480000.0,7.80,7.50,38460000.0,N/A
