,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
24,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,24.46,9.54,0.41,0.82,4.54,7.73,1.64,1.5,143.83,4230000000.0000005,3830000000.0,N/A,N/A,0.37,4.10,0.37,2290000000.0,1.5,470910000.0,6.44,54.30,9.30,1660000000.0,24.16,1270000000.0,0.77,74.77,61.41,1.5,1.32,98.90,2060000.0,2.50,3.00,1890000.0,N/A
25,N/A,N/A,akam,N/A,N/A,N/A,N/A,N/A,20.54,38.50,6.40,4.26,17.00,25.20,8.89,1.5,11.02,12670000000.0,12520000000.0,22.28,1.72,6.37,18.29,6.37,1350000000.0,1.5,333950000.0,1.84,20.90,23.00,758290000.0,4.24,604850000.0,3.78,16.52,70.84,1.5,3.21,87.60,4780000.0,2.70,N/A,3990000.0,N/A
26,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,23.29,11.40,0.84,1.45,8.09,13.20,2.51,1.5,81.69,29750000000.0,31750000000.0,11.52,1.84,0.90,6.33,0.90,13130000000.0,1.5,2750000000.0,6.27,0.40,0.40,3200000000.0,7.68,5190000000.0,0.81,49.18,71.45,1.5,0.17,79.80,4800000.0,2.30,1.10,4460000.0,N/A
27,N/A,N/A,altr,N/A,N/A,N/A,N/A,N/A,45.43,28.36,6.60,3.90,24.46,28.12,5.82,1.5,6.24,12970000000.0,11880000000.0,22.33,2.49,6.15,19.50,6.15,1280000000.0,1.5,472660000.0,1.52,12.30,5.60,2580000000.0,8.57,1490000000.0,5.72,10.87,43.10,1.5,0.32,92.50,9820000.0,4.60,3.30,11330000.0,N/A
28,N/A,N/A,alxn,N/A,N/A,N/A,N/A,N/A,4.99,52.13,15.34,10.22,29.41,41.00,15.23,1.5,11.28,34350000000.0,32560000000.000004,23.22,1.17,14.58,34.06,14.58,2060000000.0,1.5,656910000.0,3.26,N/A,35.70,1960000000.0,9.70,164600000.0,4.61,16.59,169.94,1.5,0.72,97.60,3300000.0,3.30,2.10,3170000.0,N/A
29,N/A,N/A,amat,N/A,N/A,N/A,N/A,N/A,24.12,23.69,2.98,3.41,12.63,16.99,7.77,1.5,7.58,27360000000.0,26220000000.0,N/A,N/A,2.84,13.50,2.84,3840000000.0,1.5,1170000000.0,0.94,37.50,7.70,3090000000.0,2.51,1950000000.0,2.75,6.57,22.27,1.5,0.23,90.70,80450000.0,5.20,6.60,82900000.0,N/A
30,N/A,N/A,amd,N/A,N/A,N/A,N/A,N/A,182.89,N/A,N/A,N/A,7.32,2.71,2.30,1.5,7.17,N/A,3260000000.0,29.89,14.08,0.59,9.62,0.59,1840000000.0,1.5,403000000.0,0.53,N/A,22.00,1040000000.0,1.34,2210000000.0,1.90,0.00,2.69,1.5,18.90,38.60,93100000.0,9.20,14.70,93920000.0,N/A
31,N/A,N/A,amgn,N/A,N/A,N/A,N/A,N/A,119.15,23.27,5.94,4.63,25.71,34.21,6.35,1.5,26.43,118290000000.0,121980000000.0,14.87,1.51,6.08,13.70,6.08,15640000000.0,1.5,5160000000.0,6.70,26.70,6.40,27030000000.0,35.61,30720000000.0,4.95,33.90,155.88,1.5,0.10,82.20,10200000.0,3.30,1.50,10320000.0,N/A
32,N/A,N/A,amp,N/A,N/A,N/A,N/A,N/A,121.06,15.69,1.94,2.94,13.17,29.41,1.54,1.5,64.18,23760000000.0,30040000000.0,11.68,0.79,2.44,7.76,2.44,10310000000.0,1.5,1620000000.0,8.30,43.60,4.80,4980000000.0,27.30,11260000000.0,2.18,44.37,130.19,1.5,0.36,89.60,2920000.0,3.40,1.60,2790000.0,N/A
33,N/A,N/A,amt,N/A,N/A,N/A,N/A,N/A,360.41,48.39,9.33,9.68,20.12,37.87,4.66,1.5,10.36,38390000000.0,52690000000.0,17.60,1.57,12.85,20.61,12.85,3010000000.0,1.5,801020000.0,2.00,80.40,11.10,313490000.0,0.79,14610000000.0,0.49,9.97,96.78,1.5,0.11,96.70,6340000.0,1.60,1.60,5240000.0,N/A
